a,b,c
232.0,0.22004120151898873,0.04154234223890097
232.5,0.219393448327026,0.03947372842534417
233.0,0.2187800849507698,0.03800884636796349
233.5,0.21820227836802503,0.03688233331966212
234.0,0.217653143209492,0.035731225678540396
234.5,0.21713341423494736,0.03468753692280061
235.0,0.2166377897983646,0.033634406605944626
235.5,0.21616669572188785,0.03266850040115286
236.0,0.21571602583184488,0.03170298323156482
236.5,0.2152859883404272,0.030809096881200832
237.0,0.21487338524429517,0.02992196461588593
237.5,0.21447827442449946,0.02909433928490326
238.0,0.21409815160433168,0.028277510661746857
238.5,0.2137329734858297,0.02751067071317024
239.0,0.21338076834106356,0.026757086414768646
239.5,0.21304142724941574,0.02604593808418737
240.0,0.21271338918769533,0.02534941535376262
240.5,0.2123965050410242,0.02468927040666524
241.0,0.21208953192181978,0.0240443715924566
241.5,0.21179229845799805,0.023430939285606602
242.0,0.21150380925685827,0.022832861213611295
242.5,0.21122388312688017,0.022262226952640508
243.0,0.21095171804282822,0.02170670969749183
243.5,0.21068713142668122,0.021175308526899903
244.0,0.210429472985244,0.020658560261057876
244.5,0.21017856429660137,0.02016314894362189
245.0,0.2099338746535285,0.01968178364392595
245.5,0.20969523326838416,0.01921941312807921
246.0,0.20946220410901645,0.018770398497012637
246.5,0.2092346260430985,0.018338387647107286
247.0,0.20901213834017132,0.01791900119391581
247.5,0.20879459053175992,0.01751491219426876
248.0,0.20858168206628044,0.017122703900073144
248.5,0.20837327345971757,0.01674431949997627
249.0,0.2081691124911848,0.016377079854981533
249.5,0.20796907052489538,0.01602238248637165
250.0,0.20777293435385524,0.015678114958381433
250.5,0.2075805857646734,0.01534526768180593
251.0,0.2073918432094398,0.015022164875833506
251.5,0.20720659829903795,0.014709494067309523
252.0,0.20702469531559953,0.014405916986830487
252.5,0.20684603500544618,0.01411189665577417
253.0,0.20667048284298756,0.01382635658919773
253.5,0.20649794798544496,0.013549594206337388
254.0,0.20632831339428556,0.013280736851254067
254.5,0.2061614959146458,0.013019960563248535
255.0,0.20599739302199302,0.012766552067718456
255.5,0.20583592855225627,0.012520599176843844
256.0,0.20567701209886458,0.012281513831877946
256.5,0.20552057383046846,0.012049320424329966
257.0,0.20536653351914944,0.011823529784350015
257.5,0.2052148270560705,0.011604121397486813
258.0,0.20383033952488488,0.1400499787382233
258.5,0.17467668741377898,3.524950114712693
259.0,0.14956989482461117,3.774024760979329
259.5,0.1166025004780648,3.626879685342347
260.0,0.09326900443106934,4.03328383300041
260.5,0.07368272149144538,3.9081943912442503
261.0,0.05578091738329852,3.908626323593677
261.5,0.03901192886080083,4.377624269289468
262.0,0.02314384796537777,4.191757946342752
262.5,0.008756581293312778,4.34670283047052
263.0,-0.004026876361010127,4.454703980036088
263.5,-0.01591519621697505,4.555145252826311
264.0,-0.026745580424995394,4.656921817739102
264.5,-0.03649336162941243,4.662778176211693
265.0,-0.044796321742243454,4.942631050008179
265.5,-0.052917935240017484,4.945145979765118
266.0,-0.05972399949864028,4.923202114205971
266.5,-0.06494386379490538,5.193942039858143
267.0,-0.07024548788291324,5.142838985662438
267.5,-0.07554384196831475,4.091154190013685
268.0,-0.0808339194364717,0.4139086326988824
268.5,-0.0720631104690616,0.3942367383309213
269.0,-0.06822112094428051,0.31684271729118696
269.5,-0.06530009479286016,0.2635195854939042
270.0,-0.0629605009055264,0.23490256495767112
270.5,-0.060945471379890086,0.2133584726131271
271.0,-0.05914846541177386,0.19645488041410372
271.5,-0.05752357051127101,0.18273474197265072
272.0,-0.05604459416288009,0.17129791874850425
272.5,-0.054692395464496196,0.16155405719448485
273.0,-0.05345131318813518,0.15309835482101808
273.5,-0.052308033267263555,0.14564525816279114
274.0,-0.051251089421616804,0.1389892504505084
274.5,-0.050270549074709424,0.13297984422331238
275.0,-0.049357775246749364,0.12750495460656944
275.5,-0.048505234323545164,0.12247961404833566
276.0,-0.04767507931088659,0.10090669285405482
276.5,-0.04723912786742897,0.1130088006265565
277.0,-0.04642493757526391,0.11023632566598898
277.5,-0.04574047579435526,0.10781718810973606
278.0,-0.045093802835762975,0.1059409182888183
278.5,-0.04448211773002925,0.10399312382314435
279.0,-0.04390024964081824,0.10199084316676633
279.5,-0.043344528891521135,0.09995085007231905
280.0,-0.04281220707458395,0.09788849860622353
280.5,-0.04230101616289663,0.09581706980259243
281.0,-0.04180899469473508,0.09374770361574238
281.5,-0.041334417576686405,0.09168958364046693
282.0,-0.04087575870708855,0.08965019800839494
282.5,-0.040431664641211604,0.0876355977335698
283.0,-0.0400009331845375,0.08565062561977882
283.5,-0.03958249509974085,0.08369911099858363
284.0,-0.03917539823067318,0.0817840333063054
284.5,-0.03877879365026597,0.07990765930962493
285.0,-0.03839192354255079,0.07807165853609879
285.5,-0.038014110582023364,0.07627720069963927
286.0,-0.03764474861112866,0.07452503815620619
286.5,-0.037283294446306965,0.07281557581589512
287.0,-0.03692926066769627,0.07114893047301989
287.5,-0.036582209268209306,0.06952498116492944
288.0,-0.03624174605467,0.06794341189936809
288.5,-0.03590751570814012,0.06640374787976971
289.0,-0.03557919742299121,0.06490538618431037
289.5,-0.03525650105445751,0.06344762171247077
290.0,-0.0349391637135341,0.06202966909632501
290.5,-0.03462694675551273,0.06065068116889916
291.0,-0.034319633115565996,0.05930976449977259
291.5,-0.034017024950018605,0.05800599243097901
292.0,-0.03371894154740089,0.056738415985706704
292.5,-0.03342521747761753,0.05550607296648154
293.0,-0.033135700951225804,0.054307995514212545
293.5,-0.03285025236450698,0.05314321635867317
294.0,-0.03256874300866462,0.05201077395874448
294.5,-0.03229105392409473,0.05090971669978777
295.0,-0.03201707488321967,0.04990543272645969
295.5,-0.03174670348672516,0.04896681364057746
296.0,-0.031479844360612685,0.04805151211058606
296.5,-0.031216408442278073,0.04715884634144257
297.0,-0.030956312345465403,0.046288154605919084
297.5,-0.030699477795384143,0.04543879492328526
298.0,-0.030445831125731595,0.044610144699656934
298.5,-0.03019530283084655,0.04380160033670584
299.0,-0.029947827166682317,0.04301257681618215
299.5,-0.02970334179514125,0.042242507265144565
300.0,-0.029461787466939775,0.04149084250736342
300.5,-0.029223107738631796,0.040757050604891716
301.0,-0.028987248720052473,0.04004061639343565
301.5,-0.02875415884876662,0.03934104101475786
302.0,-0.02852378868852736,0.038657841448474
302.5,-0.028296090749085383,0.03799055004588962
303.0,-0.028071019325018473,0.03733871406746405
